purpose_text,transaction_type
Heating Enefit bill September,utilities
Internet UtilityCo bill June,utilities
Water Enefit bill January,utilities
museum bill 181.91 EUR,entertainment
Internet UtilityCo bill March 49.04 EUR,utilities
RESTAURANT PAYMENT,entertainment
Internet UtilityCo bill August,utilities
taxi Berlin bill 138.09 EUR,travel
MISC EXPENSE TRANSFER,other
Heating Telia bill March,utilities
Mobile CityWater bill July 257.33 EUR,utilities
FLIGHT RIGA BILL,travel
lidl groceries fee,groceries
maxima groceries transfer 128.74 EUR,groceries
12345,groceries
museum transfer 3.73 EUR,entertainment
CINEMA INVOICE,entertainment
selver groceries payment 74.62 EUR,groceries
Internet Enefit bill November 289.31 EUR,utilities
rent July invoice 225.45 EUR,rent
N/A,travel
Disney+ subscription fee 245.76 EUR,subscription
Internet Telia bill August,utilities
Heating Elisa bill July,utilities
hotel Tartu transfer,travel
taxi Paris bill,travel
wolt market groceries transfer,groceries
prisma groceries transfer,groceries
restaurant bill 196.02 EUR,entertainment
online store groceries payment 183.68 EUR,groceries
Mobile Telia bill March,utilities
,utilities
maxima groceries fee,groceries
cinema payment 232.54 EUR,entertainment
Disney+ subscription invoice 283.73 EUR,subscription
rent November bill 72.15 EUR,rent
