purpose_text,transaction_type,tokens
cinema transfer eur,entertainment,"['cinema', 'transfer', 'eu', '##r']"
taxi tokyo transfer eur,travel,"['taxi', 'tokyo', 'transfer', 'eu', '##r']"
microsoft subscription fee eur,subscription,"['microsoft', 'subscription', 'fee', 'eu', '##r']"
gas citywater bill october,utilities,"['gas', 'city', '##water', 'bill', 'october']"
selver groceries transfer,groceries,"['se', '##lver', 'groceries', 'transfer']"
restaurant bill eur,entertainment,"['restaurant', 'bill', 'eu', '##r']"
rent january fee eur,rent,"['rent', 'january', 'fee', 'eu', '##r']"
museum transfer eur,entertainment,"['museum', 'transfer', 'eu', '##r']"
bolt market groceries bill eur,groceries,"['bolt', 'market', 'groceries', 'bill', 'eu', '##r']"
microsoft subscription invoice,subscription,"['microsoft', 'subscription', 'in', '##vo', '##ice']"
flight boston invoice eur,travel,"['flight', 'boston', 'in', '##vo', '##ice', 'eu', '##r']"
unknown,utilities,['unknown']
rent august payment eur,rent,"['rent', 'august', 'payment', 'eu', '##r']"
rent july payment eur,rent,"['rent', 'july', 'payment', 'eu', '##r']"
cinema invoice eur,entertainment,"['cinema', 'in', '##vo', '##ice', 'eu', '##r']"
adobe subscription payment eur,subscription,"['adobe', 'subscription', 'payment', 'eu', '##r']"
youtube subscription invoice,subscription,"['youtube', 'subscription', 'in', '##vo', '##ice']"
,utilities,[]
rent june bill,rent,"['rent', 'june', 'bill']"
rent december transfer,rent,"['rent', 'december', 'transfer']"
train new york invoice,travel,"['train', 'new', 'york', 'in', '##vo', '##ice']"
online store groceries fee,groceries,"['online', 'store', 'groceries', 'fee']"
mobile citywater bill october eur,utilities,"['mobile', 'city', '##water', 'bill', 'october', 'eu', '##r']"
netflix subscription transfer eur,subscription,"['netflix', 'subscription', 'transfer', 'eu', '##r']"
restaurant payment eur,entertainment,"['restaurant', 'payment', 'eu', '##r']"
restaurant fee,entertainment,"['restaurant', 'fee']"
internet citywater bill november,utilities,"['internet', 'city', '##water', 'bill', 'november']"
unknown,utilities,['unknown']
unknown,subscription,['unknown']
rent august payment,rent,"['rent', 'august', 'payment']"
amazon prime subscription transfer,subscription,"['amazon', 'prime', 'subscription', 'transfer']"
water utilityco bill may eur,utilities,"['water', 'utility', '##co', 'bill', 'may', 'eu', '##r']"
heating enefit bill february,utilities,"['heating', 'en', '##ef', '##it', 'bill', 'february']"
rent may invoice,rent,"['rent', 'may', 'in', '##vo', '##ice']"
unexpected expense bill eur,other,"['unexpected', 'expense', 'bill', 'eu', '##r']"
rent january transfer,rent,"['rent', 'january', 'transfer']"
gas enefit bill september,utilities,"['gas', 'en', '##ef', '##it', 'bill', 'september']"
mobile utilityco bill july,utilities,"['mobile', 'utility', '##co', 'bill', 'july']"
unknown,travel,['unknown']
adobe subscription fee,subscription,"['adobe', 'subscription', 'fee']"
local market groceries fee,groceries,"['local', 'market', 'groceries', 'fee']"
netflix subscription payment,subscription,"['netflix', 'subscription', 'payment']"
internet elisa bill march,utilities,"['internet', 'elisa', 'bill', 'march']"
train tartu transfer eur,travel,"['train', 'tar', '##tu', 'transfer', 'eu', '##r']"
tickets transfer,entertainment,"['tickets', 'transfer']"
prisma groceries bill,groceries,"['prism', '##a', 'groceries', 'bill']"
flight riga fee,travel,"['flight', 'riga', 'fee']"
youtube subscription invoice,subscription,"['youtube', 'subscription', 'in', '##vo', '##ice']"
rent july payment,rent,"['rent', 'july', 'payment']"
disney subscription fee eur,subscription,"['disney', 'subscription', 'fee', 'eu', '##r']"
internet citywater bill november eur,utilities,"['internet', 'city', '##water', 'bill', 'november', 'eu', '##r']"
flight riga transfer eur,travel,"['flight', 'riga', 'transfer', 'eu', '##r']"
rent february fee eur,rent,"['rent', 'february', 'fee', 'eu', '##r']"
taxi berlin payment,travel,"['taxi', 'berlin', 'payment']"
rent january fee eur,rent,"['rent', 'january', 'fee', 'eu', '##r']"
electricity elisa bill april,utilities,"['electricity', 'elisa', 'bill', 'april']"
local market groceries transfer eur,groceries,"['local', 'market', 'groceries', 'transfer', 'eu', '##r']"
concert fee,entertainment,"['concert', 'fee']"
aldi groceries invoice,groceries,"['al', '##di', 'groceries', 'in', '##vo', '##ice']"
lidl groceries payment,groceries,"['lid', '##l', 'groceries', 'payment']"
cinema bill eur,entertainment,"['cinema', 'bill', 'eu', '##r']"
rent july transfer,rent,"['rent', 'july', 'transfer']"
heating utilityco bill march,utilities,"['heating', 'utility', '##co', 'bill', 'march']"
rent march bill,rent,"['rent', 'march', 'bill']"
local market groceries bill eur,groceries,"['local', 'market', 'groceries', 'bill', 'eu', '##r']"
tickets invoice eur,entertainment,"['tickets', 'in', '##vo', '##ice', 'eu', '##r']"
unknown,utilities,['unknown']
rent november payment,rent,"['rent', 'november', 'payment']"
flight london payment,travel,"['flight', 'london', 'payment']"
concert payment,entertainment,"['concert', 'payment']"
heating elisa bill february eur,utilities,"['heating', 'elisa', 'bill', 'february', 'eu', '##r']"
heating citywater bill july,utilities,"['heating', 'city', '##water', 'bill', 'july']"
youtube subscription bill,subscription,"['youtube', 'subscription', 'bill']"
gas enefit bill july,utilities,"['gas', 'en', '##ef', '##it', 'bill', 'july']"
online store groceries transfer eur,groceries,"['online', 'store', 'groceries', 'transfer', 'eu', '##r']"
unknown,subscription,['unknown']
unexpected expense bill eur,other,"['unexpected', 'expense', 'bill', 'eu', '##r']"
youtube subscription fee,subscription,"['youtube', 'subscription', 'fee']"
aldi groceries bill,groceries,"['al', '##di', 'groceries', 'bill']"
rent january bill eur,rent,"['rent', 'january', 'bill', 'eu', '##r']"
amazon prime subscription transfer eur,subscription,"['amazon', 'prime', 'subscription', 'transfer', 'eu', '##r']"
electricity telia bill february,utilities,"['electricity', 'tel', '##ia', 'bill', 'february']"
adobe subscription bill,subscription,"['adobe', 'subscription', 'bill']"
hotel tokyo fee eur,travel,"['hotel', 'tokyo', 'fee', 'eu', '##r']"
misc expense transfer eur,other,"['mis', '##c', 'expense', 'transfer', 'eu', '##r']"
cinema payment,entertainment,"['cinema', 'payment']"
unexpected expense transfer eur,other,"['unexpected', 'expense', 'transfer', 'eu', '##r']"
microsoft subscription bill,subscription,"['microsoft', 'subscription', 'bill']"
misc expense invoice eur,other,"['mis', '##c', 'expense', 'in', '##vo', '##ice', 'eu', '##r']"
hotel tallinn invoice,travel,"['hotel', 'tallinn', 'in', '##vo', '##ice']"
rent june fee eur,rent,"['rent', 'june', 'fee', 'eu', '##r']"
gas elisa bill april,utilities,"['gas', 'elisa', 'bill', 'april']"
gas citywater bill november,utilities,"['gas', 'city', '##water', 'bill', 'november']"
hotel riga fee,travel,"['hotel', 'riga', 'fee']"
gas citywater bill october eur,utilities,"['gas', 'city', '##water', 'bill', 'october', 'eu', '##r']"
taxi riga invoice,travel,"['taxi', 'riga', 'in', '##vo', '##ice']"
rent march invoice eur,rent,"['rent', 'march', 'in', '##vo', '##ice', 'eu', '##r']"
gas elisa bill october,utilities,"['gas', 'elisa', 'bill', 'october']"
gas elisa bill march,utilities,"['gas', 'elisa', 'bill', 'march']"
gas citywater bill september eur,utilities,"['gas', 'city', '##water', 'bill', 'september', 'eu', '##r']"
rimi groceries transfer eur,groceries,"['rim', '##i', 'groceries', 'transfer', 'eu', '##r']"
rent september payment,rent,"['rent', 'september', 'payment']"
gas enefit bill march,utilities,"['gas', 'en', '##ef', '##it', 'bill', 'march']"
rent march fee,rent,"['rent', 'march', 'fee']"
,rent,[]
internet telia bill may,utilities,"['internet', 'tel', '##ia', 'bill', 'may']"
unexpected expense payment,other,"['unexpected', 'expense', 'payment']"
tickets payment eur,entertainment,"['tickets', 'payment', 'eu', '##r']"
netflix subscription bill eur,subscription,"['netflix', 'subscription', 'bill', 'eu', '##r']"
mobile citywater bill september,utilities,"['mobile', 'city', '##water', 'bill', 'september']"
wolt market groceries fee eur,groceries,"['wo', '##lt', 'market', 'groceries', 'fee', 'eu', '##r']"
rent june payment,rent,"['rent', 'june', 'payment']"
aldi groceries payment,groceries,"['al', '##di', 'groceries', 'payment']"
hotel helsinki transfer,travel,"['hotel', 'helsinki', 'transfer']"
rent april fee eur,rent,"['rent', 'april', 'fee', 'eu', '##r']"
,other,[]
concert bill,entertainment,"['concert', 'bill']"
spar groceries fee,groceries,"['spa', '##r', 'groceries', 'fee']"
water citywater bill september,utilities,"['water', 'city', '##water', 'bill', 'september']"
flight berlin transfer eur,travel,"['flight', 'berlin', 'transfer', 'eu', '##r']"
general expense transfer eur,other,"['general', 'expense', 'transfer', 'eu', '##r']"
local market groceries invoice,groceries,"['local', 'market', 'groceries', 'in', '##vo', '##ice']"
disney subscription transfer,subscription,"['disney', 'subscription', 'transfer']"
lidl groceries payment,groceries,"['lid', '##l', 'groceries', 'payment']"
gas telia bill january,utilities,"['gas', 'tel', '##ia', 'bill', 'january']"
rent december invoice,rent,"['rent', 'december', 'in', '##vo', '##ice']"
rent february fee,rent,"['rent', 'february', 'fee']"
heating citywater bill september,utilities,"['heating', 'city', '##water', 'bill', 'september']"
rimi groceries invoice,groceries,"['rim', '##i', 'groceries', 'in', '##vo', '##ice']"
lidl groceries invoice,groceries,"['lid', '##l', 'groceries', 'in', '##vo', '##ice']"
unexpected expense fee,other,"['unexpected', 'expense', 'fee']"
online store groceries fee eur,groceries,"['online', 'store', 'groceries', 'fee', 'eu', '##r']"
aldi groceries fee eur,groceries,"['al', '##di', 'groceries', 'fee', 'eu', '##r']"
rent april fee,rent,"['rent', 'april', 'fee']"
hotel helsinki fee,travel,"['hotel', 'helsinki', 'fee']"
misc expense transfer eur,other,"['mis', '##c', 'expense', 'transfer', 'eu', '##r']"
unknown,subscription,['unknown']
misc expense fee eur,other,"['mis', '##c', 'expense', 'fee', 'eu', '##r']"
rent june transfer,rent,"['rent', 'june', 'transfer']"
hotel paris invoice,travel,"['hotel', 'paris', 'in', '##vo', '##ice']"
amazon prime subscription payment eur,subscription,"['amazon', 'prime', 'subscription', 'payment', 'eu', '##r']"
flight tokyo transfer eur,travel,"['flight', 'tokyo', 'transfer', 'eu', '##r']"
unexpected expense fee eur,other,"['unexpected', 'expense', 'fee', 'eu', '##r']"
rent july fee,rent,"['rent', 'july', 'fee']"
rent february invoice,rent,"['rent', 'february', 'in', '##vo', '##ice']"
cinema invoice eur,entertainment,"['cinema', 'in', '##vo', '##ice', 'eu', '##r']"
rent february transfer,rent,"['rent', 'february', 'transfer']"
electricity enefit bill may,utilities,"['electricity', 'en', '##ef', '##it', 'bill', 'may']"
wolt market groceries invoice,groceries,"['wo', '##lt', 'market', 'groceries', 'in', '##vo', '##ice']"
mobile citywater bill december,utilities,"['mobile', 'city', '##water', 'bill', 'december']"
mobile citywater bill december eur,utilities,"['mobile', 'city', '##water', 'bill', 'december', 'eu', '##r']"
train helsinki invoice,travel,"['train', 'helsinki', 'in', '##vo', '##ice']"
general expense invoice,other,"['general', 'expense', 'in', '##vo', '##ice']"
gas utilityco bill november eur,utilities,"['gas', 'utility', '##co', 'bill', 'november', 'eu', '##r']"
unexpected expense bill eur,other,"['unexpected', 'expense', 'bill', 'eu', '##r']"
gas utilityco bill december,utilities,"['gas', 'utility', '##co', 'bill', 'december']"
internet utilityco bill december,utilities,"['internet', 'utility', '##co', 'bill', 'december']"
misc expense transfer eur,other,"['mis', '##c', 'expense', 'transfer', 'eu', '##r']"
apple subscription fee,subscription,"['apple', 'subscription', 'fee']"
gas telia bill august eur,utilities,"['gas', 'tel', '##ia', 'bill', 'august', 'eu', '##r']"
general expense payment eur,other,"['general', 'expense', 'payment', 'eu', '##r']"
museum invoice,entertainment,"['museum', 'in', '##vo', '##ice']"
google one subscription invoice eur,subscription,"['google', 'one', 'subscription', 'in', '##vo', '##ice', 'eu', '##r']"
general expense transfer eur,other,"['general', 'expense', 'transfer', 'eu', '##r']"
selver groceries bill,groceries,"['se', '##lver', 'groceries', 'bill']"
spar groceries payment,groceries,"['spa', '##r', 'groceries', 'payment']"
,entertainment,[]
apple subscription bill eur,subscription,"['apple', 'subscription', 'bill', 'eu', '##r']"
netflix subscription transfer,subscription,"['netflix', 'subscription', 'transfer']"
rent march payment,rent,"['rent', 'march', 'payment']"
spotify subscription fee eur,subscription,"['spot', '##ify', 'subscription', 'fee', 'eu', '##r']"
train tallinn payment eur,travel,"['train', 'tallinn', 'payment', 'eu', '##r']"
flight tartu transfer,travel,"['flight', 'tar', '##tu', 'transfer']"
rent july bill,rent,"['rent', 'july', 'bill']"
tickets bill,entertainment,"['tickets', 'bill']"
spotify subscription payment eur,subscription,"['spot', '##ify', 'subscription', 'payment', 'eu', '##r']"
restaurant fee,entertainment,"['restaurant', 'fee']"
rent november invoice,rent,"['rent', 'november', 'in', '##vo', '##ice']"
misc expense transfer,other,"['mis', '##c', 'expense', 'transfer']"
rent february bill eur,rent,"['rent', 'february', 'bill', 'eu', '##r']"
rent march transfer,rent,"['rent', 'march', 'transfer']"
water telia bill june eur,utilities,"['water', 'tel', '##ia', 'bill', 'june', 'eu', '##r']"
hotel berlin payment,travel,"['hotel', 'berlin', 'payment']"
amazon prime subscription payment,subscription,"['amazon', 'prime', 'subscription', 'payment']"
museum fee eur,entertainment,"['museum', 'fee', 'eu', '##r']"
rent september payment eur,rent,"['rent', 'september', 'payment', 'eu', '##r']"
mobile enefit bill december,utilities,"['mobile', 'en', '##ef', '##it', 'bill', 'december']"
general expense transfer eur,other,"['general', 'expense', 'transfer', 'eu', '##r']"
train berlin bill eur,travel,"['train', 'berlin', 'bill', 'eu', '##r']"
unknown,travel,['unknown']
hulu subscription transfer,subscription,"['hu', '##lu', 'subscription', 'transfer']"
museum payment eur,entertainment,"['museum', 'payment', 'eu', '##r']"
disney subscription payment eur,subscription,"['disney', 'subscription', 'payment', 'eu', '##r']"
flight paris transfer,travel,"['flight', 'paris', 'transfer']"
taxi paris bill eur,travel,"['taxi', 'paris', 'bill', 'eu', '##r']"
rent april payment,rent,"['rent', 'april', 'payment']"
electricity elisa bill april,utilities,"['electricity', 'elisa', 'bill', 'april']"
museum fee eur,entertainment,"['museum', 'fee', 'eu', '##r']"
unexpected expense fee eur,other,"['unexpected', 'expense', 'fee', 'eu', '##r']"
rent february invoice eur,rent,"['rent', 'february', 'in', '##vo', '##ice', 'eu', '##r']"
general expense invoice,other,"['general', 'expense', 'in', '##vo', '##ice']"
unknown,rent,['unknown']
maxima groceries transfer,groceries,"['maxim', '##a', 'groceries', 'transfer']"
train riga fee,travel,"['train', 'riga', 'fee']"
concert transfer eur,entertainment,"['concert', 'transfer', 'eu', '##r']"
mobile elisa bill october,utilities,"['mobile', 'elisa', 'bill', 'october']"
electricity telia bill may eur,utilities,"['electricity', 'tel', '##ia', 'bill', 'may', 'eu', '##r']"
rent october payment,rent,"['rent', 'october', 'payment']"
microsoft subscription transfer,subscription,"['microsoft', 'subscription', 'transfer']"
spotify subscription payment,subscription,"['spot', '##ify', 'subscription', 'payment']"
spotify subscription bill,subscription,"['spot', '##ify', 'subscription', 'bill']"
museum invoice,entertainment,"['museum', 'in', '##vo', '##ice']"
unexpected expense invoice eur,other,"['unexpected', 'expense', 'in', '##vo', '##ice', 'eu', '##r']"
spotify subscription transfer eur,subscription,"['spot', '##ify', 'subscription', 'transfer', 'eu', '##r']"
unknown,groceries,['unknown']
rent february invoice eur,rent,"['rent', 'february', 'in', '##vo', '##ice', 'eu', '##r']"
flight helsinki fee,travel,"['flight', 'helsinki', 'fee']"
flight berlin invoice eur,travel,"['flight', 'berlin', 'in', '##vo', '##ice', 'eu', '##r']"
unexpected expense transfer eur,other,"['unexpected', 'expense', 'transfer', 'eu', '##r']"
disney subscription invoice eur,subscription,"['disney', 'subscription', 'in', '##vo', '##ice', 'eu', '##r']"
general expense bill,other,"['general', 'expense', 'bill']"
hotel tartu bill,travel,"['hotel', 'tar', '##tu', 'bill']"
taxi riga bill,travel,"['taxi', 'riga', 'bill']"
general expense invoice eur,other,"['general', 'expense', 'in', '##vo', '##ice', 'eu', '##r']"
train tartu bill eur,travel,"['train', 'tar', '##tu', 'bill', 'eu', '##r']"
coop groceries bill,groceries,"['coop', 'groceries', 'bill']"
unknown,other,['unknown']
rent january payment,rent,"['rent', 'january', 'payment']"
electricity elisa bill march eur,utilities,"['electricity', 'elisa', 'bill', 'march', 'eu', '##r']"
tickets invoice eur,entertainment,"['tickets', 'in', '##vo', '##ice', 'eu', '##r']"
bolt market groceries payment,groceries,"['bolt', 'market', 'groceries', 'payment']"
train helsinki payment,travel,"['train', 'helsinki', 'payment']"
unknown,other,['unknown']
hotel tartu payment eur,travel,"['hotel', 'tar', '##tu', 'payment', 'eu', '##r']"
general expense bill eur,other,"['general', 'expense', 'bill', 'eu', '##r']"
rent september payment eur,rent,"['rent', 'september', 'payment', 'eu', '##r']"
concert fee eur,entertainment,"['concert', 'fee', 'eu', '##r']"
apple subscription bill,subscription,"['apple', 'subscription', 'bill']"
tickets invoice eur,entertainment,"['tickets', 'in', '##vo', '##ice', 'eu', '##r']"
online store groceries payment,groceries,"['online', 'store', 'groceries', 'payment']"
amazon prime subscription fee eur,subscription,"['amazon', 'prime', 'subscription', 'fee', 'eu', '##r']"
local market groceries transfer,groceries,"['local', 'market', 'groceries', 'transfer']"
heating elisa bill august,utilities,"['heating', 'elisa', 'bill', 'august']"
train tallinn invoice eur,travel,"['train', 'tallinn', 'in', '##vo', '##ice', 'eu', '##r']"
tickets fee,entertainment,"['tickets', 'fee']"
water telia bill october,utilities,"['water', 'tel', '##ia', 'bill', 'october']"
hotel berlin invoice,travel,"['hotel', 'berlin', 'in', '##vo', '##ice']"
youtube subscription payment eur,subscription,"['youtube', 'subscription', 'payment', 'eu', '##r']"
museum fee eur,entertainment,"['museum', 'fee', 'eu', '##r']"
spar groceries bill,groceries,"['spa', '##r', 'groceries', 'bill']"
taxi riga fee eur,travel,"['taxi', 'riga', 'fee', 'eu', '##r']"
general expense payment,other,"['general', 'expense', 'payment']"
misc expense invoice,other,"['mis', '##c', 'expense', 'in', '##vo', '##ice']"
mobile elisa bill september,utilities,"['mobile', 'elisa', 'bill', 'september']"
mobile utilityco bill september,utilities,"['mobile', 'utility', '##co', 'bill', 'september']"
unknown,utilities,['unknown']
selver groceries bill eur,groceries,"['se', '##lver', 'groceries', 'bill', 'eu', '##r']"
concert transfer,entertainment,"['concert', 'transfer']"
mobile enefit bill september,utilities,"['mobile', 'en', '##ef', '##it', 'bill', 'september']"
apple subscription payment eur,subscription,"['apple', 'subscription', 'payment', 'eu', '##r']"
disney subscription fee eur,subscription,"['disney', 'subscription', 'fee', 'eu', '##r']"
disney subscription transfer eur,subscription,"['disney', 'subscription', 'transfer', 'eu', '##r']"
unknown,subscription,['unknown']
heating utilityco bill august,utilities,"['heating', 'utility', '##co', 'bill', 'august']"
rent february fee,rent,"['rent', 'february', 'fee']"
rent april transfer,rent,"['rent', 'april', 'transfer']"
hotel tallinn fee,travel,"['hotel', 'tallinn', 'fee']"
heating utilityco bill january,utilities,"['heating', 'utility', '##co', 'bill', 'january']"
taxi riga fee,travel,"['taxi', 'riga', 'fee']"
rent may invoice,rent,"['rent', 'may', 'in', '##vo', '##ice']"
,utilities,[]
unknown,rent,['unknown']
unknown,subscription,['unknown']
water utilityco bill august,utilities,"['water', 'utility', '##co', 'bill', 'august']"
netflix subscription transfer,subscription,"['netflix', 'subscription', 'transfer']"
internet telia bill june,utilities,"['internet', 'tel', '##ia', 'bill', 'june']"
museum bill eur,entertainment,"['museum', 'bill', 'eu', '##r']"
flight tokyo bill eur,travel,"['flight', 'tokyo', 'bill', 'eu', '##r']"
unknown,travel,['unknown']
rimi groceries fee eur,groceries,"['rim', '##i', 'groceries', 'fee', 'eu', '##r']"
rimi groceries invoice,groceries,"['rim', '##i', 'groceries', 'in', '##vo', '##ice']"
hotel berlin invoice eur,travel,"['hotel', 'berlin', 'in', '##vo', '##ice', 'eu', '##r']"
unknown,other,['unknown']
flight new york bill,travel,"['flight', 'new', 'york', 'bill']"
water utilityco bill july,utilities,"['water', 'utility', '##co', 'bill', 'july']"
selver groceries transfer eur,groceries,"['se', '##lver', 'groceries', 'transfer', 'eu', '##r']"
online store groceries bill eur,groceries,"['online', 'store', 'groceries', 'bill', 'eu', '##r']"
water citywater bill february,utilities,"['water', 'city', '##water', 'bill', 'february']"
apple subscription transfer eur,subscription,"['apple', 'subscription', 'transfer', 'eu', '##r']"
taxi london invoice,travel,"['taxi', 'london', 'in', '##vo', '##ice']"
disney subscription fee eur,subscription,"['disney', 'subscription', 'fee', 'eu', '##r']"
unexpected expense payment eur,other,"['unexpected', 'expense', 'payment', 'eu', '##r']"
lidl groceries transfer,groceries,"['lid', '##l', 'groceries', 'transfer']"
cinema bill eur,entertainment,"['cinema', 'bill', 'eu', '##r']"
rent december invoice eur,rent,"['rent', 'december', 'in', '##vo', '##ice', 'eu', '##r']"
hulu subscription bill eur,subscription,"['hu', '##lu', 'subscription', 'bill', 'eu', '##r']"
wolt market groceries fee,groceries,"['wo', '##lt', 'market', 'groceries', 'fee']"
heating enefit bill april eur,utilities,"['heating', 'en', '##ef', '##it', 'bill', 'april', 'eu', '##r']"
,other,[]
flight new york fee eur,travel,"['flight', 'new', 'york', 'fee', 'eu', '##r']"
museum fee,entertainment,"['museum', 'fee']"
rent november invoice eur,rent,"['rent', 'november', 'in', '##vo', '##ice', 'eu', '##r']"
rent july fee,rent,"['rent', 'july', 'fee']"
local market groceries bill,groceries,"['local', 'market', 'groceries', 'bill']"
internet utilityco bill july eur,utilities,"['internet', 'utility', '##co', 'bill', 'july', 'eu', '##r']"
flight berlin invoice eur,travel,"['flight', 'berlin', 'in', '##vo', '##ice', 'eu', '##r']"
restaurant payment,entertainment,"['restaurant', 'payment']"
rent august bill,rent,"['rent', 'august', 'bill']"
unknown,utilities,['unknown']
rent may bill,rent,"['rent', 'may', 'bill']"
unknown,groceries,['unknown']
,entertainment,[]
general expense payment,other,"['general', 'expense', 'payment']"
unexpected expense transfer eur,other,"['unexpected', 'expense', 'transfer', 'eu', '##r']"
online store groceries bill eur,groceries,"['online', 'store', 'groceries', 'bill', 'eu', '##r']"
hulu subscription bill eur,subscription,"['hu', '##lu', 'subscription', 'bill', 'eu', '##r']"
selver groceries bill eur,groceries,"['se', '##lver', 'groceries', 'bill', 'eu', '##r']"
heating utilityco bill october,utilities,"['heating', 'utility', '##co', 'bill', 'october']"
unknown,subscription,['unknown']
heating citywater bill august,utilities,"['heating', 'city', '##water', 'bill', 'august']"
unknown,groceries,['unknown']
youtube subscription transfer eur,subscription,"['youtube', 'subscription', 'transfer', 'eu', '##r']"
rent january fee eur,rent,"['rent', 'january', 'fee', 'eu', '##r']"
concert transfer eur,entertainment,"['concert', 'transfer', 'eu', '##r']"
google one subscription invoice,subscription,"['google', 'one', 'subscription', 'in', '##vo', '##ice']"
flight berlin fee eur,travel,"['flight', 'berlin', 'fee', 'eu', '##r']"
wolt market groceries bill,groceries,"['wo', '##lt', 'market', 'groceries', 'bill']"
taxi tallinn fee,travel,"['taxi', 'tallinn', 'fee']"
apple subscription transfer,subscription,"['apple', 'subscription', 'transfer']"
misc expense bill eur,other,"['mis', '##c', 'expense', 'bill', 'eu', '##r']"
gas elisa bill may,utilities,"['gas', 'elisa', 'bill', 'may']"
rent may transfer,rent,"['rent', 'may', 'transfer']"
mobile utilityco bill may eur,utilities,"['mobile', 'utility', '##co', 'bill', 'may', 'eu', '##r']"
misc expense payment eur,other,"['mis', '##c', 'expense', 'payment', 'eu', '##r']"
unknown,subscription,['unknown']
concert invoice,entertainment,"['concert', 'in', '##vo', '##ice']"
general expense payment eur,other,"['general', 'expense', 'payment', 'eu', '##r']"
cinema transfer,entertainment,"['cinema', 'transfer']"
rimi groceries fee,groceries,"['rim', '##i', 'groceries', 'fee']"
internet citywater bill october,utilities,"['internet', 'city', '##water', 'bill', 'october']"
hotel boston bill,travel,"['hotel', 'boston', 'bill']"
hotel new york bill,travel,"['hotel', 'new', 'york', 'bill']"
unexpected expense transfer eur,other,"['unexpected', 'expense', 'transfer', 'eu', '##r']"
internet utilityco bill january,utilities,"['internet', 'utility', '##co', 'bill', 'january']"
unknown,rent,['unknown']
heating citywater bill september,utilities,"['heating', 'city', '##water', 'bill', 'september']"
rent october fee,rent,"['rent', 'october', 'fee']"
misc expense fee eur,other,"['mis', '##c', 'expense', 'fee', 'eu', '##r']"
rent november bill,rent,"['rent', 'november', 'bill']"
electricity enefit bill august eur,utilities,"['electricity', 'en', '##ef', '##it', 'bill', 'august', 'eu', '##r']"
rent october invoice,rent,"['rent', 'october', 'in', '##vo', '##ice']"
heating utilityco bill march,utilities,"['heating', 'utility', '##co', 'bill', 'march']"
train boston transfer,travel,"['train', 'boston', 'transfer']"
concert invoice eur,entertainment,"['concert', 'in', '##vo', '##ice', 'eu', '##r']"
misc expense invoice,other,"['mis', '##c', 'expense', 'in', '##vo', '##ice']"
rent december bill eur,rent,"['rent', 'december', 'bill', 'eu', '##r']"
heating elisa bill february eur,utilities,"['heating', 'elisa', 'bill', 'february', 'eu', '##r']"
,entertainment,[]
taxi berlin bill eur,travel,"['taxi', 'berlin', 'bill', 'eu', '##r']"
taxi tallinn invoice eur,travel,"['taxi', 'tallinn', 'in', '##vo', '##ice', 'eu', '##r']"
misc expense bill,other,"['mis', '##c', 'expense', 'bill']"
amazon prime subscription transfer eur,subscription,"['amazon', 'prime', 'subscription', 'transfer', 'eu', '##r']"
mobile enefit bill march,utilities,"['mobile', 'en', '##ef', '##it', 'bill', 'march']"
hotel boston fee,travel,"['hotel', 'boston', 'fee']"
unexpected expense invoice eur,other,"['unexpected', 'expense', 'in', '##vo', '##ice', 'eu', '##r']"
train riga transfer,travel,"['train', 'riga', 'transfer']"
hulu subscription invoice,subscription,"['hu', '##lu', 'subscription', 'in', '##vo', '##ice']"
prisma groceries fee,groceries,"['prism', '##a', 'groceries', 'fee']"
netflix subscription payment eur,subscription,"['netflix', 'subscription', 'payment', 'eu', '##r']"
rent june fee eur,rent,"['rent', 'june', 'fee', 'eu', '##r']"
hotel new york invoice,travel,"['hotel', 'new', 'york', 'in', '##vo', '##ice']"
gas utilityco bill may,utilities,"['gas', 'utility', '##co', 'bill', 'may']"
bolt market groceries bill eur,groceries,"['bolt', 'market', 'groceries', 'bill', 'eu', '##r']"
wolt market groceries fee,groceries,"['wo', '##lt', 'market', 'groceries', 'fee']"
concert transfer eur,entertainment,"['concert', 'transfer', 'eu', '##r']"
train helsinki invoice eur,travel,"['train', 'helsinki', 'in', '##vo', '##ice', 'eu', '##r']"
internet utilityco bill march,utilities,"['internet', 'utility', '##co', 'bill', 'march']"
google one subscription transfer,subscription,"['google', 'one', 'subscription', 'transfer']"
train helsinki payment eur,travel,"['train', 'helsinki', 'payment', 'eu', '##r']"
mobile utilityco bill july eur,utilities,"['mobile', 'utility', '##co', 'bill', 'july', 'eu', '##r']"
electricity citywater bill february,utilities,"['electricity', 'city', '##water', 'bill', 'february']"
,subscription,[]
,rent,[]
adobe subscription invoice,subscription,"['adobe', 'subscription', 'in', '##vo', '##ice']"
train boston payment,travel,"['train', 'boston', 'payment']"
heating elisa bill january,utilities,"['heating', 'elisa', 'bill', 'january']"
tickets payment,entertainment,"['tickets', 'payment']"
unexpected expense bill,other,"['unexpected', 'expense', 'bill']"
microsoft subscription invoice,subscription,"['microsoft', 'subscription', 'in', '##vo', '##ice']"
hotel tokyo invoice,travel,"['hotel', 'tokyo', 'in', '##vo', '##ice']"
general expense invoice eur,other,"['general', 'expense', 'in', '##vo', '##ice', 'eu', '##r']"
rent may invoice eur,rent,"['rent', 'may', 'in', '##vo', '##ice', 'eu', '##r']"
flight riga invoice,travel,"['flight', 'riga', 'in', '##vo', '##ice']"
cinema bill,entertainment,"['cinema', 'bill']"
